book_title,book_description,book_rating,book_price,book_authors,book_features,book_cover_url
Ağlasığmazlıq dağına qalxmaq,Həyatın arxasındakı güc nədir? Kainatın unikal mexanizmi təsadüfən yarana bilərmi? Kitab bu cür olduqca maraqlı məsələləri təkamülə uyğunlaşma ilə izah edir. Bəs təkamül özü necə işləyir? Sualın,5,13.59 AZN,Richard Dawkins,Yumşaq,https://static.insales-cdn.com/images/products/1/5332/760739028/medium_AGLASIGMAZLIQ_DAGI_qapaq.jpg
Nina və səkkizinci notun sirri,,5,6.39 AZN,Muni Vitçer,Yumşaq,https://static.insales-cdn.com/images/products/1/2967/760753047/medium_NINA_VE_8CI_NOTUN_SIRRI_qapaq.jpg
Holland evi,Amerika yazıçısı Enn Patchett-in yeni romanı ailə dastanı miqyasında genişləndirilmiş Qrimm qardaşlarının nağılını xatırladır. Əsas personajlar Denni Konroy və onun bacısı Maeve-nin hekayəsi XX əsrin,5,11.19 AZN,Anna Paçet,Yumşaq,https://static.insales-cdn.com/images/products/1/2602/757787178/medium_HOLLAND_EVI_qapaq.jpg
Elmin qısa tarixi,"Kitab böyük bir macəra hekayəsindən – elmin tarixindənbəhs edir. Onun əsrlər boyu keçdiyi yolu izləyir. Dövri sistemintəkamülünü göstərir. Elektriki, cazibə qüvvəsini və atomlarınquruluşunu izah edir.",5,10.39 AZN,Vilyam Baynum,Yumşaq,https://static.insales-cdn.com/images/products/1/434/749552050/medium_ELMIN_QISA_TARIXI_qapaq.jpg
Dəniz zəhmətkeşləri,"Viktor Hüqo (1802-1885): Fransız ədəbiyyatının ən böyük yazıçılarından biridir. O, şeirləri, pyesləri və romanları ilə tanınır. Fransada romantizm hərəkatının",5,11.99 AZN,Viktor Hüqo,Yumşaq,https://static.insales-cdn.com/images/products/1/4382/757739806/medium_DENIZ_ZEHMETKESHLERI_qapaq.jpg
Anlayaraq sürətli oxumaq,"Cəmi altı həftə ərzində, öz evinizdə daha yaxşı anlayaraq, daha çox yadda saxlayaraq və daha rahat xatırlayaraq üçqat daha sürətli oxumağı öyrənin.   Peter Kump ",5,11.99 AZN,,Yumşaq,https://static.insales-cdn.com/images/products/1/7065/757791641/medium_ANLAYARAQ_OXUMAQ_qapaq.jpg
İçkini atmağın asan üsulu,Allen Karr-ın ,5,8.79 AZN,Allen Karr,Yumşaq,https://static.insales-cdn.com/images/products/1/7850/749575850/medium_ICKINI_ATMAGIN_ASAN_YOLU_qapaq.jpg
Modellər: qadınları dürüstlüklə cəlb edin,,5,10.39 AZN,Mark Manson,Yumşaq,https://static.insales-cdn.com/images/products/1/4354/757813506/medium_MODELLER_qapaq.jpg
Ağrı mələyi: onun ruhunun dörddə üçü,Müəllifin ,5,8.79 AZN,Çingiz Abdullayev,Yumşaq,https://static.insales-cdn.com/images/products/1/5808/769545904/medium_WhatsApp_Image_2023-10-19_at_16.46.41.jpeg
Seçmə hekayələr. Bertran Rassel,Bu kitabda məşhur ingilis filosofu və yazıçısı Bertran Rasselin müxtəlif illərdə yazdığı maraqlı hekayələri yer alıb.“Qanun” nəşriyyatının yeni layihəsi “Hekayə vaxtı” adlanır. Fəlsəfə və ədəbiyyatı eyni müstəvidə kəsişdirməyi bacaran,5,3.19 AZN,Bertran Rassel,Yumşaq,https://static.insales-cdn.com/images/products/1/4418/757879106/medium_BERTRAND_HEKAYE_VAXTI_Seriya_qapaqlar.jpg
Seçmə hekayələr. Roald Dahl,Bu kitabda məşhur yazıçı Roald Dahlın müxtəlif illərdə yazdığı maraqlı hekayələri yer alıb.“Qanun” nəşriyyatının yeni layihəsi “Hekayə vaxtı” adlanır. Fəlsəfə və ədəbiyyatı eyni müstəvidə kəsişdirməyi bacaran yazarın,5,4.79 AZN,Roald Dahl,Yumşaq,https://static.insales-cdn.com/images/products/1/6522/757881210/medium_DAHL_HEKAYE_VAXTI_Seriya_qapaqlar.jpg
Dağlar yıxılanda,"Böyük qırğız yazıçısı Çingiz Aytmatovun dilimizə ilk dəfə çevrilən son “Dağlar yıxılanda (Əbədi gəlin)” romanında hadisələr Tyan-Şan dağlarında baş verir, əzab çəkən iki məxluqun – insanın və bəbirin",5,11.99 AZN,Çingiz Aytmatov,Bərk,https://static.insales-cdn.com/images/products/1/5116/752948220/medium_DAGLAR_YIXILANDA_qapaq_.jpg
İblislə söhbət,"Moskvada cərəyan edən hadisələrdə tələbə qızın satanistləqarşılaşması – birincinin həyatının dəyişilməsinə səbəb olur.Gecəylə-gündüzün, zülmətlə-işığın, şərlə-xeyirin xüsusiyyətləriaçıqlanacaq əsərdə, hadisələr soyuq Moskvadan Bakıya keçidalır.Bir çox insanlara naməlum,",5,6 AZN,Aynur Nurlu,Yumşaq,https://static.insales-cdn.com/images/products/1/7784/755269224/medium_IBLISLE_SOHBET_qapaq.jpg
Ruh sağlamlığımız üçün,İnam güclüdür. İnam var olmağın mücadiləsidir. İnam tənha qaldığımızda beləözümüzdən güc alıb yüksəlməkdir. İnam bizi içimizdən isidən bir günəşdir. İnam dərindən bir nəfəs alıb ,5,8 AZN,Siyavuş Quliyev,Yumşaq,https://static.insales-cdn.com/images/products/1/2694/752241286/medium_RUH_SAGLAMLIGINIZ_UCUN_qapaq.jpg
Dünyamızı tanıyaq 1,"Bu vəsaitin hazırlanmasında əsas məqsəd uşaqlara təbiət hadisələri ilə bağlı ilkinməlumatları vermək, onları ətraflarında olan əşyalarla tanış etmək, balacalara insanındünyadakı rolunu başa salmaqdır. İstəyimiz odur",5,4 AZN,Sevda Bəxtiyar,Yumşaq,https://static.insales-cdn.com/images/products/1/7128/752974808/medium_DUNYAMIZI_TANIYAQ_1.jpg
Qədim Tiflisin əbədi boheması,"Monoqrafiya XIX əsrin ikinci yarısı – XX əsrin əvvəllərindəkiTiflis həyatının özünəməxsus ensiklopediyasıdır.Kintolar, qaraçoxelilər, sazandarlar, xalq şairləri, pəhləvanlarvə başqaları haqqında tarixi faktlarla bəhs edir. Həm də",5,11.19 AZN,İosif Qrişaşvili,Yumşaq,https://static.insales-cdn.com/images/products/1/482/749068770/medium_QEDIM_TIFLIS_qapaq.jpg
Şopenhauerlə 90 dəqiqə,"Platondan sonra fəlsəfə dünyası bu qədər incə yazı və düşüncə üslubu görməmişdi. Əsərləri bizdə onun necə insan olması haqda dolğun təsəvvür formalaşdırır. Kitablarında ağıllı, gözüaçıq və səmimi görünən bir",5,3.19 AZN,Pol Stretern,Yumşaq,https://static.insales-cdn.com/images/products/1/7921/747863793/medium_SHOPENHAURLE_90_deq_qapaq.jpg
Haydeggerlə 90 dəqiqə,Böyük alman filosofu Martin Haydeggeri ötən əsrin ən ziddiyyətli filosofu hesab etmək olar. Çünki onun dövrü kəskin fikir ayrılıqları ilə zəngin idi. Haydeggerin yaratdığı cərəyanın əsas sualı belə formalaşmışdı:,,3.19 AZN,Pol Stretern,Yumşaq,https://static.insales-cdn.com/images/products/1/1390/747865454/medium_HAYDEGGERLE_90_deq_qapaq.jpg
Teatr meydanı,Ötən əsrin son illərində qələmə alınmış “Teatr meydanı”romanında hadisələr kino kadrları kimi sürətlə bir-biriniəvəz edir. Əsərin qəhrəmanı şəxsi detektiv Rufiz oğurlanmışuşağı xilası etmək üçün ən,5,9.59 AZN,Firuz Mustafa,Yumşaq,https://static.insales-cdn.com/images/products/1/4863/747868927/medium_TEATR_MEYDANI_qapaq.jpg
Ölüm son deyil,"Azərbaycan Respublikası Milli Məclisinin deputatı, Xalq şairi Sabir Rüstəmxanlının yaradıcılığında ictimai-siyasi motivlər, ümummilli ideallar və yüksək vətəndaşlıq missiyası həmişə ön mövqedə olub. O, müstəqillik dövrü Azərbaycan ədəbiyyatında vətəndaşlıq poeziyasının əsas",5,8.79 AZN,Sabir Rüstəmxanlı,Yumşaq,https://static.insales-cdn.com/images/products/1/7085/747879341/medium_OLUM_SON_DEYIL_sert_qapaq_.jpg
Polis,"Polis məmuru istintaqa cəlb olunduğu köhnə, açılmamış qətlin hadisə yerində qətlə yetirilirsə, bu, çətin ki, təsadüf ola bilər. Eyni şey bir neçə ay ərzində digər",5,13.59 AZN,Jo Nesbo,Yumşaq,https://static.insales-cdn.com/images/products/1/7366/747887814/medium_POLIS_qapaq.jpg
Tülkü həccə gedir,"Abdulla Şaiq Azərbaycan milli uşaq ədəbiyyatının incilərini yaratmışdır. O, 1906-cı ildən başlayaraq silsilə şeirləri, dünya ədəbiyyatından tərcümələri ilə milli uşaq ədəbiyyatının əsasını qoymuşdur. Abdulla Şaiqin",5,3.59 AZN,Abdulla Şaiq,Yumşaq,https://static.insales-cdn.com/images/products/1/5346/747893986/medium_TULKI_HECCE_GEDIR_qapaq.jpg
